idx,유저,챗봇
1,높이 길이를 좀 더 길게 해주실 수 있나요?,저희는 완제품을 판매하는 곳으로 따로 사이즈 제작은 어려운 점 양해 부탁드립니다.
2,,
3,,
4,,
5,레이스 커튼만 개별 구매 안 될까요?,현재 레이스 커튼은 따로 판매하고 있지 않은 점 양해 부탁드립니다. 다른 문의사항은 언제든 글 남겨주시구요.
6,,
7,화이트 구매 안 되나요?,다른 문의사항은 언제든 글 남겨주시구요 즐겁고 활기찬 하루 되세요.
8,,
9,똑같은 회사에 똑같은 상품인데 2만원 더 비싼데 혹시 상품 이 틀리나요?,구성 먼저 확인해 보시고 좀 더 저렴한 제품으로 구매해 주시면 됩니다. 다른 문의사항은 언제든 글 남겨주시구요.
10,,
11,,
12,,
13,검수 잘해서 배송 부탁드립니다 그리고 배송 날짜가 좀 늦게 뜨는 데 이번 주에 받을 수 있을까요?,주문 건 확인 후 좋은 상품으로 최대한 빠른 배송해 드리겠습니다.
14,,
15,,
16,,
17,화이트는 언제 입고되나요?,다른 문의사항은 언제든 글 남겨주시구요.
18,,
19,핀 형도 가능한가요?,다른 문의사항은 언제든 글 남겨주시구요.
20,,
21,,
22,,
23,#분산!,#분산!
24,,
25,,
26,,
27,베이지 주문했는데 타이백은 어떤 색 그리고 어떤 게오나요?,문의 주신 베이지 색상은 골드타이백이 출고되며 주문건은 확인 후 좋은 상품으로 최대한 빠른 배송 노력하겠습니다.
28,,
29,벽길이가 235인데 235커튼을 봉에 걸면 길겠지요?,세로 길이가 좀 길면 방풍 효과가 있을 것으로 보여집니다 참고하시고 즐거운 쇼핑 하세요.
30,,
31,왜 사진과 다르게 보냇는지요?,사진을 아래쪽으로 내리시면 타이백 색상이 나옵니다.
32,,
33,커튼 잘 받았어요 엔틱봉 구매 하력 느하는데 450으로 구매하면 되나요?,설치하실 가로 길이가 여유가 되거나 좀 더 기시다면 540사이즈도 괜찮습니다.
34,레일형에 해도 되나요?,커튼봉으로만 설치 가능해요.
35,,
36,,
37,,
38,,
39,,
40,,
41,,
42,,
43,,
44,,
45,,
46,,
47,,
48,,
49,,
50,,
51,,
52,,
53,,
54,,
55,,
56,,
57,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
68,,
69,,
70,,
71,,
72,,
73,,
74,,
75,,
76,,
77,,
78,,
79,,
80,,
81,,
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,,
90,,
91,,
92,,
93,,
94,,
95,,
96,,
97,,
98,,
99,,
100,,
101,,
102,,
103,,
104,,
105,,
106,,
107,,
108,,
109,,
110,,
111,,
112,,
113,,
114,,
115,,
116,,
117,,
118,,
119,,
120,,
121,,
122,,
123,,
124,,
125,,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,배송받고 세탁하고 사용해야 하죠?,별도의 세탁 없이 간단하게 카페트 표면 청소만 하셔도 바로 사용하실 수 있습니다.
138,,
139,까는 이불보다 못한 걸 사서 올해 다시 구입하려고 하는데 무게가 얼마나 되나요?,일반 패드 워싱과 비교했을 경우 두께면이 두 배 정도이며 뒷면 꼼꼼한 논슬립 처리로 보다 편리하고 안전하게 사용하실 수 있습니다.
140,,
141,,
142,,
143,,
144,,
145,,
146,,
147,길이가 380센티인데 슈퍼특대하고 특대하고 좀 갈등되는데 어느 쪽 선택이 탁월할까요?,커튼은 일반적으로 설치하실 곳의 사이즈보다 200CM 넓은 사이즈를 권해드립니다.
148,,
149,기본 구성이랑 추가 구성다 포함인가요?,문의주신 상품 구성에는 암막 커튼과 컬러쉬어 커튼 화이트쉬어 커튼과 커튼봉 포함되어 발송됩니다.
150,,
151,4중직이면 천 4장을 겹쳤다는 뜻인가요?,4중직 암막 원단은 원사와 암막사를 경사와 위사의 배열로 교차시킨 4중 직짜임을 뜻합니다.
152,,
153,핀형 커튼으로 주문 가능한가요?,문의주신 상품은 핀 형식으로는 제작이불가한 점 양해 부탁드립니다.
154,,
155,,
156,,
157,그레이 색상 뒤 면도 같은 톤인가요?,같은 재질의 뒷면은 아니세요
158,,
159,그레이 색상은 언제 재입고되나요?,해당 제품 사이즈보다 작은 사이즈는 없음으로 이 점 참고해 주시길 바랍니다.
160,,
161,가로폭이 420인데 이 상품 구매해서 설치해도 괜찮을까요?,당사 아일렛 커튼 원단길이 측정법 안 내드리겠습니다. 이 점 참고해 주시길 바랍니다.
162,,
163,거실 전기장판 위에 사용해도 되나요?,사용 가능하나 고온 장시간 사용 시 상품 변색될 수 있으니 참고 부탁드리겠습니다.
164,,
165,,
166,혹시 세로 길이 연장 가능한가요?,저희는 완제품을 판매하는 곳으로 따로 길이수선은 어려운 점 양해 부탁드립니다.
167,,
168,,
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
181,,
182,,
183,,
184,,
185,,
186,,
187,,
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,그레이가 입고 되는 것만 기다리는데 언제 되나요?,아직 정확한 일정이 없어 도움을 드리지 못하는 점 양해 부탁드립니다. 오늘도 건강한 하루 보내세요.
228,,
229,,
230,,
231,,
232,,
233,가로430세로 245인데 대형하면 되나요?,커튼의 경우 주름지는 부분도 생각해야 하기 때문에 설치 위치의 1.5배 2배의 길이를 설치해야 합니다.가로 430이면 수퍼 특대형은 구매하셔야 할 것 같아요.
234,,
235,"속지와 함께 주문하려고 하는데 보통 암막 커튼 4장, 속지 2장을 많이 하나요?",암막 4장 속지 2장 하시면 좀 더 어두운 분위기 연출이 가능하며 암막 2장 속지 4장은 속지 부분으로 빛이 들어와 밝은 느낌이 듭니다.
236,,
237,설치는 아직 못했는데 커튼봉이 몇 미리 인가요?,기본 브라켓은 봉과 함께 들어 있으며 길이 조절이 가능한 브라켓은 검색창에 바자르길이 조절용 브라켓으로 검색하시면 함께 구매 가능하십니다.
238,,
239,사이즈 주문 제작 가능한가요?,제품 사이즈 제작 가능한 지 문의주셨네요. 다른 문의사항 있으시면 언제든지 방문 바라며 고객님께 항상 행복한 일들만 가득하시길 바랍니다.
240,,
241,,
242,,
243,보내주신 게 아이보리가 맞나요?,문의 주신 상품은 상품 보관 가방 앞에 들어있는 삽지로 되어 있으면 저희가 잘못 보내드린 게 맞습니다.
244,,
245,사이즈 65X 230맞죠?,저희 바니 루이스 쇼파패드 4단의 경우 모두 65CMX 230CM 로 제작하고 있습니다.
246,,
247,#분산!,#분산!
248,,
249,세탁기로 세탁 후 건조기로 건조하면 안 돼나요?,모든 섬유상품은 건조기 사용을 금지하고 있습니다. 건조기 사용시 상품에 변형이 있을 수 있어 사용 불가로 안내해드리고 있습니다.
250,,
251,아이보리는 구매할 수 없어요?,저희 바니 루이스 상품에 관심을 가져주셔서 감사드리며 문의주신 사항에 대해 답변 드리겠습니다.
252,,
253,배송언제 받을 수 있나요?,먼저 안내드린거와 달리 오늘 출고된다고 합니다 송장 확인되는데로 등록하도록 하겠습니다.
254,,
255,,
256,,
257,어제 12시까지 주문 가능했는데 이제 끝난 건가요?,문의주신 제품이 현재 너무 많이 판매가 되서 일시 품절된 것 같습니다
258,,
259,외풍 차단이 어느 정도 되나요?,문의주신 제품은 원단 1장이라고 봐주시면 되세요
260,,
261,,
262,,
263,커튼봉을 천정에 고정할 수 있다면 사이즈 몇을 구매해야 하나요?,거실 사이즈보다 짧기 때문에 설치시 길이 조절 브라켓을 이용하셔야 될 듯하며 커튼 사이즈는 특대형으로 해주시면 됩니다.
264,,
265,커튼봉이 좀 큰 것도 들어가나요?,봉이 어느 정도 큰지는 모르겠지만 3MM 를 넘기면 퍽퍽해서 움직이기 힘들어요.
266,,
267,,
268,,
269,,
270,,
271,커튼봉 둘레는 최대 얼마까지 가능하게 제작되어 있나요?,자사의 두꺼운 화이트 커튼봉은 무난히 들어갑니다.
272,,
273,킹사이즈로 높이 70으로 가능할까요?,70CM 으로 하시려면 맞춤으로 진행하셔야 합니다.
274,,
275,슈퍼싱글 사이즈는 없나요?,자사 S사이즈와 SS 사이즈는 큰 차이가 없으나 매트리스마다 차이가 있을 수 있기에 꼭.실 측 사이즈 확인 후 주문해 주시길 바랍니다.
276,,
277,,
278,,
279,300 240이면 이 커튼 구입해도 되나요?,봉은 별도 구매해 주셔야 합니다 커튼 300x240 사이즈의 경우에는 해당 제품 구매하시면 가로주름 풍성하게 연출 가능하시며 다만 세로기장은 조금 짧을 수 있습니다.
280,,
281,언제 출고될까요?,전체적으로 주문량이 많아서 조금씩 지연되고 있습니다 최대한 빠른 출고요청하겠습니다.
282,,
283,아이보리랑 화이트 색상 차이가 많이 나나요?,화이트는 완전 화이트 이시구요
284,,
285,주문했는데요급해서 그러는데 오늘 발송해주시면 안 될까요?,정확히 당일 출고 확 답드리기는 어렵습니다 이 점 양해 부탁드립니다.
286,,
287,빨리 주문해야 담주 안에 설치할 수 있지 않을까요?,주문하신 후 주문번호/색상/손잡이 방향/맞춤하실가로 세로 사이즈 남겨주시면 주문건 확인 후 제작 진행하도록 하겠습니다.
288,,
289,방금 초코렛 좌.우100/230 주문했습니다. 이번 주 토요일까지 받을 수 있을까요?,배송일은 제작일에 따라 달라지는 부분이 셔서 이번 주 중 배송 확답드리기는 어렵습니다.
290,,
291,겉에 나무 프레임까지 합쳐서 가로 길이가 229이구요. 그럼 몇으로 주문을 해야 될까요?,사이즈는 고객님께서 결정해주셔야 합니다 맞춤이기 때문에 교환/반품이불가하여 실제 볼 수가 없기 때문에 저희가 사이즈를 정해드리기는 어렵습니다.
292,,
293,흰색도 암막되나요?,해당 제품은 암막 기능성 제품이 아니세요 직사광선을 막는 정도로 생각해주세요.
294,,
295,#분산!,#분산!
296,,
297,가로 166세로 120이면 뭘로 주문해야 하나요?,단가 표 기준 170x120에 맞는 수량으로 주문해 주시면 되세요 204개 주문해 주시면 되세요.
298,,
299,,
300,,
301,제작하고 있으신 거 맞나요?,문의주신 블라인드 주문 제작 상품은 평일 기준 7일 이내 발송 상품이세요 3일 주문건 확인 후 제작 진행되고 있구요.
302,,
303,두 개로 나누고 싶은데 80으로 가능할까요?,100에 맞는 수량 선택해주시구요 사이즈 업체로 전달주시면 100이하도 제작 가능합니다.
304,,
305,거실 창에 할거라 더 신중하게 되는데 아이보리랑 화이트 어떤 게 나을까요?,화이트는 완전한 화이트 색상이구요 크림색이라고 하는 부분이 마다 조금씩 차이가 있어서 정확한 안내를 드리기는 어렵습니다.
306,,
307,진그린 200/100 좌우 주문했는데요 색상을 바꾸고 싶어서요 아이보리로 바꿀 수 있나요?,주문건 확인 결과 그레이 구매해주신 것으로 확인됩니다 또한 가로 200세로 100일 경우 구매 수량 200으로 구매해 주셔야 됩니다수량과 사이즈 색상 다시 한번 확인 부탁드립니다.
308,,
309,혹시 해외 배송도 가능한가요?,구매해주신 후 별도 배송해주셔야 하세요
310,,
311,색상 선택할 때 좌우 이렇게 나뉘는데 좌우가 먼 가요?,블라인드 올렸다.
312,,
313,가로세로 만나는 곳에 460이라는 숫자가 나오는데요 대략 금액이 얼마인가요?,기본금액에서 수량 곱해주시면 되세요
314,,
315,배송 준비 중이라는데 언제와요?,24일 제품 출고되신 부분으로 확인되구요
316,,
317,,
318,,
319,,
320,,
321,기장을 33CM 정도로 더 짧게 하고 싶은데 가능한가요?,33CM 로 원하실 경우 맞춤으로 하셔야 합니다. 맞춤의 경우 담당자가 달라 안내해드리기 어렵습니다.
322,,
323,,
324,,
325,딸아이 침대에 해주고 싶은데 침대 메트리스가 110x200 슈퍼싱글 사이즈인데 여기에 맞는 건 없나요?,구매하시는데 도움되시길 바랍니다.
326,,
327,스커트 길이가 몇 센치인 가요?,구매하시는데 참고하시기 바랍니다.
328,,
329,주문할려다 침대 사이즈가 K과 Q 어느 게 큰 사이즈인가요?,구매하시는데 참고하시기 바랍니다
330,,
331,270x235/2장으로 구성된 건가요?,2장 총 3 - 4KG 정도 됩니다
332,,
333,,
334,,
